framework,trace_idx,n_steps,fm,present,step_idx,pct,is_global
ChatDev,0,69,1.1,0,,,0
ChatDev,0,69,1.2,0,,,0
ChatDev,0,69,1.3,0,,,0
ChatDev,0,69,1.4,0,,,0
ChatDev,0,69,1.5,0,,,0
ChatDev,0,69,2.1,0,,,0
ChatDev,0,69,2.2,0,,,0
ChatDev,0,69,2.3,0,,,0
ChatDev,0,69,2.4,0,,,0
ChatDev,0,69,2.5,0,,,0
ChatDev,0,69,2.6,1,14,21.0,0
ChatDev,0,69,3.1,0,,,0
ChatDev,0,69,3.2,0,,,0
ChatDev,0,69,3.3,1,54,79.0,0
ChatDev,1,68,1.1,0,,,0
ChatDev,1,68,1.2,1,60,90.0,0
ChatDev,1,68,1.3,1,60,90.0,0
ChatDev,1,68,1.4,0,,,0
ChatDev,1,68,1.5,1,,,1
ChatDev,1,68,2.1,0,,,0
ChatDev,1,68,2.2,1,61,91.0,0
ChatDev,1,68,2.3,1,60,90.0,0
ChatDev,1,68,2.4,0,,,0
ChatDev,1,68,2.5,1,60,90.0,0
ChatDev,1,68,2.6,1,60,90.0,0
ChatDev,1,68,3.1,0,,,0
ChatDev,1,68,3.2,1,53,79.0,0
ChatDev,1,68,3.3,0,,,0
ChatDev,2,66,1.1,0,,,0
ChatDev,2,66,1.2,0,,,0
ChatDev,2,66,1.3,0,,,0
ChatDev,2,66,1.4,0,,,0
ChatDev,2,66,1.5,0,,,0
ChatDev,2,66,2.1,0,,,0
ChatDev,2,66,2.2,0,,,0
ChatDev,2,66,2.3,0,,,0
ChatDev,2,66,2.4,0,,,0
ChatDev,2,66,2.5,0,,,0
ChatDev,2,66,2.6,1,17,26.0,0
ChatDev,2,66,3.1,0,,,0
ChatDev,2,66,3.2,0,,,0
ChatDev,2,66,3.3,0,,,0
ChatDev,3,67,1.1,0,,,0
ChatDev,3,67,1.2,0,,,0
ChatDev,3,67,1.3,0,,,0
ChatDev,3,67,1.4,0,,,0
ChatDev,3,67,1.5,1,,,1
ChatDev,3,67,2.1,0,,,0
ChatDev,3,67,2.2,0,,,0
ChatDev,3,67,2.3,0,,,0
ChatDev,3,67,2.4,0,,,0
ChatDev,3,67,2.5,1,32,48.0,0
ChatDev,3,67,2.6,0,,,0
ChatDev,3,67,3.1,0,,,0
ChatDev,3,67,3.2,0,,,0
