framework,trace_idx,n_steps,fm,present,step_idx,pct,is_global
ChatDev,0,69,1.1,0,,,0
ChatDev,0,69,1.2,0,,,0
ChatDev,0,69,1.3,0,,,0
ChatDev,0,69,1.4,0,,,0
ChatDev,0,69,1.5,0,,,0
ChatDev,0,69,2.1,0,,,0
ChatDev,0,69,2.2,0,,,0
ChatDev,0,69,2.3,0,,,0
ChatDev,0,69,2.4,0,,,0
ChatDev,0,69,2.5,0,,,0
ChatDev,0,69,2.6,0,,,0
ChatDev,0,69,3.1,0,,,0
ChatDev,0,69,3.2,0,,,0
ChatDev,0,69,3.3,0,,,0
AG2,0,4,1.1,0,,,0
AG2,0,4,1.2,0,,,0
AG2,0,4,1.3,0,,,0
AG2,0,4,1.4,0,,,0
AG2,0,4,1.5,0,,,0
AG2,0,4,2.1,0,,,0
AG2,0,4,2.2,0,,,0
AG2,0,4,2.3,0,,,0
AG2,0,4,2.4,0,,,0
AG2,0,4,2.5,0,,,0
AG2,0,4,2.6,0,,,0
AG2,0,4,3.1,0,,,0
AG2,0,4,3.2,0,,,0
AG2,0,4,3.3,0,,,0
AppWorld,0,96,1.1,0,,,0
AppWorld,0,96,1.2,0,,,0
AppWorld,0,96,1.3,0,,,0
AppWorld,0,96,1.4,0,,,0
AppWorld,0,96,1.5,0,,,0
AppWorld,0,96,2.1,0,,,0
AppWorld,0,96,2.2,0,,,0
AppWorld,0,96,2.3,0,,,0
AppWorld,0,96,2.4,0,,,0
AppWorld,0,96,2.5,0,,,0
AppWorld,0,96,2.6,0,,,0
AppWorld,0,96,3.1,0,,,0
AppWorld,0,96,3.2,0,,,0
AppWorld,0,96,3.3,0,,,0
HyperAgent,0,40,1.1,0,,,0
HyperAgent,0,40,1.2,0,,,0
HyperAgent,0,40,1.3,0,,,0
HyperAgent,0,40,1.4,0,,,0
HyperAgent,0,40,1.5,0,,,0
HyperAgent,0,40,2.1,0,,,0
HyperAgent,0,40,2.2,0,,,0
HyperAgent,0,40,2.3,0,,,0
HyperAgent,0,40,2.4,0,,,0
HyperAgent,0,40,2.5,0,,,0
HyperAgent,0,40,2.6,0,,,0
HyperAgent,0,40,3.1,0,,,0
HyperAgent,0,40,3.2,0,,,0
HyperAgent,0,40,3.3,0,,,0
MetaGPT,0,6,1.1,0,,,0
MetaGPT,0,6,1.2,0,,,0
MetaGPT,0,6,1.3,0,,,0
MetaGPT,0,6,1.4,0,,,0
MetaGPT,0,6,1.5,0,,,0
MetaGPT,0,6,2.1,0,,,0
MetaGPT,0,6,2.2,0,,,0
MetaGPT,0,6,2.3,0,,,0
MetaGPT,0,6,2.4,0,,,0
MetaGPT,0,6,2.5,0,,,0
MetaGPT,0,6,2.6,0,,,0
MetaGPT,0,6,3.1,0,,,0
MetaGPT,0,6,3.2,0,,,0
MetaGPT,0,6,3.3,0,,,0
MagenticOne,0,13,1.1,0,,,0
MagenticOne,0,13,1.2,0,,,0
MagenticOne,0,13,1.3,0,,,0
MagenticOne,0,13,1.4,0,,,0
MagenticOne,0,13,1.5,0,,,0
MagenticOne,0,13,2.1,0,,,0
MagenticOne,0,13,2.2,0,,,0
MagenticOne,0,13,2.3,0,,,0
MagenticOne,0,13,2.4,0,,,0
MagenticOne,0,13,2.5,0,,,0
MagenticOne,0,13,2.6,0,,,0
MagenticOne,0,13,3.1,0,,,0
MagenticOne,0,13,3.2,0,,,0
MagenticOne,0,13,3.3,0,,,0
OpenManus,0,83,1.1,0,,,0
OpenManus,0,83,1.2,0,,,0
OpenManus,0,83,1.3,0,,,0
OpenManus,0,83,1.4,0,,,0
OpenManus,0,83,1.5,0,,,0
OpenManus,0,83,2.1,0,,,0
OpenManus,0,83,2.2,0,,,0
OpenManus,0,83,2.3,0,,,0
OpenManus,0,83,2.4,0,,,0
OpenManus,0,83,2.5,0,,,0
OpenManus,0,83,2.6,0,,,0
OpenManus,0,83,3.1,0,,,0
OpenManus,0,83,3.2,0,,,0
OpenManus,0,83,3.3,0,,,0
