framework,trace_idx,n_steps,fm,present,step_idx,pct,is_global
ChatDev,0,69,1.1,1,17,25.0,0
ChatDev,0,69,1.2,0,,,0
ChatDev,0,69,1.3,0,,,0
ChatDev,0,69,1.4,1,17,25.0,0
ChatDev,0,69,1.5,0,,,0
ChatDev,0,69,2.1,0,,,0
ChatDev,0,69,2.2,0,,,0
ChatDev,0,69,2.3,0,,,0
ChatDev,0,69,2.4,1,17,25.0,0
ChatDev,0,69,2.5,0,,,0
ChatDev,0,69,2.6,1,17,25.0,0
ChatDev,0,69,3.1,0,,,0
ChatDev,0,69,3.2,1,23,34.0,0
ChatDev,0,69,3.3,0,,,0
AG2,0,4,1.1,1,1,33.0,0
AG2,0,4,1.2,0,,,0
AG2,0,4,1.3,0,,,0
AG2,0,4,1.4,0,,,0
AG2,0,4,1.5,0,,,0
AG2,0,4,2.1,0,,,0
AG2,0,4,2.2,0,,,0
AG2,0,4,2.3,0,,,0
AG2,0,4,2.4,0,,,0
AG2,0,4,2.5,0,,,0
AG2,0,4,2.6,0,,,0
AG2,0,4,3.1,0,,,0
AG2,0,4,3.2,1,3,100.0,0
AG2,0,4,3.3,0,,,0
AppWorld,0,96,1.1,0,,,0
AppWorld,0,96,1.2,0,,,0
AppWorld,0,96,1.3,0,,,0
AppWorld,0,96,1.4,0,,,0
AppWorld,0,96,1.5,0,,,0
AppWorld,0,96,2.1,0,,,0
AppWorld,0,96,2.2,0,,,0
AppWorld,0,96,2.3,0,,,0
AppWorld,0,96,2.4,1,17,18.0,0
AppWorld,0,96,2.5,0,,,0
AppWorld,0,96,2.6,0,,,0
AppWorld,0,96,3.1,0,,,0
AppWorld,0,96,3.2,0,,,0
AppWorld,0,96,3.3,0,,,0
HyperAgent,0,40,1.1,0,,,0
HyperAgent,0,40,1.2,0,,,0
HyperAgent,0,40,1.3,1,25,64.0,0
HyperAgent,0,40,1.4,1,26,67.0,0
HyperAgent,0,40,1.5,0,,,0
HyperAgent,0,40,2.1,0,,,0
HyperAgent,0,40,2.2,0,,,0
HyperAgent,0,40,2.3,1,24,62.0,0
HyperAgent,0,40,2.4,0,,,0
HyperAgent,0,40,2.5,1,30,77.0,0
HyperAgent,0,40,2.6,1,14,36.0,0
HyperAgent,0,40,3.1,0,,,0
HyperAgent,0,40,3.2,0,,,0
HyperAgent,0,40,3.3,0,,,0
MetaGPT,0,6,1.1,0,,,0
MetaGPT,0,6,1.2,0,,,0
MetaGPT,0,6,1.3,0,,,0
MetaGPT,0,6,1.4,0,,,0
MetaGPT,0,6,1.5,1,,,1
MetaGPT,0,6,2.1,0,,,0
MetaGPT,0,6,2.2,0,,,0
MetaGPT,0,6,2.3,0,,,0
MetaGPT,0,6,2.4,0,,,0
MetaGPT,0,6,2.5,0,,,0
MetaGPT,0,6,2.6,0,,,0
MetaGPT,0,6,3.1,1,,,1
MetaGPT,0,6,3.2,1,2,40.0,0
MetaGPT,0,6,3.3,0,,,0
MagenticOne,0,13,1.1,0,,,0
MagenticOne,0,13,1.2,0,,,0
MagenticOne,0,13,1.3,0,,,0
MagenticOne,0,13,1.4,0,,,0
MagenticOne,0,13,1.5,0,,,0
MagenticOne,0,13,2.1,0,,,0
MagenticOne,0,13,2.2,0,,,0
MagenticOne,0,13,2.3,0,,,0
MagenticOne,0,13,2.4,0,,,0
MagenticOne,0,13,2.5,0,,,0
MagenticOne,0,13,2.6,0,,,0
MagenticOne,0,13,3.1,0,,,0
MagenticOne,0,13,3.2,1,5,42.0,0
MagenticOne,0,13,3.3,0,,,0
OpenManus,0,83,1.1,1,,,1
OpenManus,0,83,1.2,0,,,0
OpenManus,0,83,1.3,1,62,76.0,0
OpenManus,0,83,1.4,0,,,0
OpenManus,0,83,1.5,1,,,1
OpenManus,0,83,2.1,0,,,0
OpenManus,0,83,2.2,1,14,17.0,0
OpenManus,0,83,2.3,1,34,41.0,0
OpenManus,0,83,2.4,0,,,0
OpenManus,0,83,2.5,0,,,0
OpenManus,0,83,2.6,1,9,11.0,0
OpenManus,0,83,3.1,0,,,0
OpenManus,0,83,3.2,1,54,66.0,0
OpenManus,0,83,3.3,0,,,0
