run,fm,judge,forced,semi,relaxed
1,1.1,0,~,~,
1,1.2,0,~,~,
1,1.3,1,"20,24,31,35,42,46","59,64","3,8,12,19,23,30,34,41,45,54,58,63"
1,1.4,0,~,~,
1,1.5,0,~,~,
1,2.1,0,~,~,
1,2.2,1,"5,6",24,
1,2.3,0,~,~,
1,2.4,0,~,~,
1,2.5,0,~,~,"25,52"
1,2.6,0,~,~,
1,3.1,0,~,~,
1,3.2,0,~,~,52
1,3.3,1,21,21,21
2,1.1,0,~,~,
2,1.2,0,~,~,
2,1.3,0,~,~,
2,1.4,0,~,~,
2,1.5,0,~,~,
2,2.1,0,~,~,
2,2.2,1,43,43,
2,2.3,0,~,~,
2,2.4,0,~,~,
2,2.5,0,~,~,25
2,2.6,1,21,13,
2,3.1,0,~,~,
2,3.2,0,~,~,43
2,3.3,1,21,21,21
3,1.1,1,global,14,"global,13,14,21,32,43,65"
3,1.2,1,"20,24,31,35,42",RETRACTED,
3,1.3,1,?,RETRACTED,
3,1.4,0,~,~,
3,1.5,1,global,RETRACTED,
3,2.1,0,~,~,
3,2.2,1,"4,5,6","4,5,13,14",
3,2.3,0,~,~,
3,2.4,0,~,~,13
3,2.5,0,~,~,25
3,2.6,1,"20,24,31,35,42","14,25",25
3,3.1,1,global,21,
3,3.2,0,~,~,"global,21,32,43,51,52"
3,3.3,1,21,21,
4,1.1,0,~,~,
4,1.2,0,~,~,"20,24,31,35,42,46,59"
4,1.3,0,~,~,"20,24,31,35,42,46,55,59,60,64"
4,1.4,0,~,~,
4,1.5,0,~,~,
4,2.1,0,~,~,
4,2.2,1,47,"4,5,6,7,8,9,10,11,12,13,14",
4,2.3,0,~,~,
4,2.4,0,~,~,
4,2.5,0,~,~,"20,24,25,31,32,35,42,43,46,60"
4,2.6,1,25,RETRACTED,25
4,3.1,0,~,~,
4,3.2,0,~,~,"21,32,43"
4,3.3,1,21,21,
5,1.1,1,global,RETRACTED,
5,1.2,0,~,~,60
5,1.3,0,~,~,"32,59,60"
5,1.4,0,~,~,
5,1.5,0,~,~,
5,2.1,0,~,~,
5,2.2,1,5,"5,14,21,32",
5,2.3,0,~,~,
5,2.4,0,~,~,
5,2.5,0,~,~,
5,2.6,1,47,"21,32",25
5,3.1,0,~,~,
5,3.2,0,~,~,
5,3.3,1,21,"21,32",21
6,1.1,1,global,global,"global,14"
6,1.2,0,~,~,
6,1.3,0,~,~,
6,1.4,0,~,~,
6,1.5,0,~,~,
6,2.1,0,~,~,
6,2.2,1,14,21,
6,2.3,0,~,~,
6,2.4,0,~,~,13
6,2.5,0,~,~,"14,21,52"
6,2.6,1,14,25,
6,3.1,0,~,~,global
6,3.2,0,~,~,"global,21,52"
6,3.3,0,~,~,
7,1.1,1,global,14,25
7,1.2,0,~,~,
7,1.3,0,~,~,31
7,1.4,0,~,~,
7,1.5,0,~,~,
7,2.1,0,~,~,
7,2.2,1,43,global,
7,2.3,0,~,~,
7,2.4,0,~,~,
7,2.5,0,~,~,
7,2.6,0,~,~,25
7,3.1,0,~,~,
7,3.2,0,~,~,
7,3.3,1,"21,43",21,21
8,1.1,0,~,~,
8,1.2,0,~,~,
8,1.3,1,"20,24,31,35,42,46",RETRACTED,
8,1.4,0,~,~,
8,1.5,0,~,~,
8,2.1,0,~,~,
8,2.2,1,44,14,
8,2.3,0,~,~,
8,2.4,0,~,~,
8,2.5,0,~,~,
8,2.6,0,~,~,"24,25"
8,3.1,0,~,~,
8,3.2,0,~,~,"21,52"
8,3.3,1,21,21,21
9,1.1,1,global,RETRACTED,
9,1.2,1,"20,24,31,35,42,46,55,59",RETRACTED,"20,24,31,35,42,46"
9,1.3,1,"20,24,31,35,42,46,55,59","20,31,42",59
9,1.4,0,~,~,
9,1.5,1,global,RETRACTED,
9,2.1,0,~,~,
9,2.2,1,14,14,
9,2.3,0,~,~,59
9,2.4,1,14,RETRACTED,
9,2.5,0,~,~,
9,2.6,1,"20,24,31,35,42,46,55,59",25,25
9,3.1,0,~,~,
9,3.2,0,~,~,
9,3.3,1,21,21,21
10,1.1,0,~,~,14
10,1.2,0,~,~,"59,60"
10,1.3,0,~,~,"59,60"
10,1.4,0,~,~,
10,1.5,0,~,~,
10,2.1,0,~,~,
10,2.2,1,"14,21",14,
10,2.3,0,~,~,
10,2.4,0,~,~,
10,2.5,0,~,~,
10,2.6,0,~,~,
10,3.1,0,~,~,
10,3.2,0,~,~,
10,3.3,1,21,21,"21,32,43,51,52"
11,1.1,1,global,14,25
11,1.2,0,~,~,
11,1.3,0,~,~,"59,60"
11,1.4,0,~,~,
11,1.5,0,~,~,
11,2.1,0,~,~,
11,2.2,0,~,~,
11,2.3,0,~,~,59
11,2.4,0,~,~,
11,2.5,0,~,~,
11,2.6,0,~,~,"24,25"
11,3.1,0,~,~,
11,3.2,0,~,~,
11,3.3,1,21,21,21
12,1.1,0,~,~,25
12,1.2,0,~,~,20
12,1.3,0,~,~,"20,24,31,35,42,46,55,59,64"
12,1.4,0,~,~,32
12,1.5,0,~,~,
12,2.1,0,~,~,32
12,2.2,1,21,47,5
12,2.3,0,~,~,
12,2.4,0,~,~,
12,2.5,0,~,~,
12,2.6,1,21,25,25
12,3.1,0,~,~,
12,3.2,0,~,~,"51,52"
12,3.3,1,21,21,21
13,1.1,0,~,~,
13,1.2,1,"20,31,42","20,24,31,35,42",
13,1.3,1,"20,24,31,35,42,46,59","20,24,31,35,42,55,59","20,24,31,35,42,46,55,59,64"
13,1.4,0,~,~,
13,1.5,1,global,RETRACTED,
13,2.1,0,~,~,
13,2.2,1,43,14,
13,2.3,0,~,~,
13,2.4,1,43,RETRACTED,
13,2.5,0,~,~,
13,2.6,1,43,"20,24,31,35,42",
13,3.1,1,global,RETRACTED,
13,3.2,0,~,~,
13,3.3,1,21,21,21
14,1.1,0,~,~,
14,1.2,1,"4,9,13,20,24,31,35,42,46,55,59","20,24,31,35,42,46,55,59",
14,1.3,1,"4,9,13,20,24,31,35,42,46,55,59",RETRACTED,
14,1.4,0,~,~,
14,1.5,0,~,~,
14,2.1,0,~,~,
14,2.2,1,43,RETRACTED,
14,2.3,0,~,~,
14,2.4,0,~,~,
14,2.5,0,~,~,
14,2.6,1,"21,32,43",25,25
14,3.1,0,~,~,
14,3.2,0,~,~,21
14,3.3,1,"21,32",21,21
15,1.1,0,~,~,25
15,1.2,0,~,~,
15,1.3,1,"20,24,31,35,42,46,55,59,64","4,9,13,20,24,31,35,42,46,55,59",59
15,1.4,0,~,~,
15,1.5,0,~,~,
15,2.1,0,~,~,
15,2.2,1,43,43,
15,2.3,0,~,~,
15,2.4,0,~,~,
15,2.5,0,~,~,59
15,2.6,1,43,25,25
15,3.1,0,~,~,
15,3.2,0,~,~,21
15,3.3,1,21,21,21
16,1.1,0,~,~,25
16,1.2,0,~,~,"20,24,31,35,42,46,59"
16,1.3,1,"20,24,31,35,42,46,55,59,64",RETRACTED,59
16,1.4,0,~,~,
16,1.5,0,~,~,
16,2.1,0,~,~,
16,2.2,1,43,21,47
16,2.3,0,~,~,
16,2.4,0,~,~,
16,2.5,0,~,~,
16,2.6,1,21,21,
16,3.1,0,~,~,
16,3.2,0,~,~,
16,3.3,1,21,21,
17,1.1,1,14,global,
17,1.2,0,~,~,
17,1.3,0,~,~,
17,1.4,0,~,~,
17,1.5,0,~,~,
17,2.1,0,~,~,
17,2.2,1,global,14,
17,2.3,0,~,~,
17,2.4,0,~,~,
17,2.5,0,~,~,
17,2.6,1,21,RETRACTED,25
17,3.1,0,~,~,
17,3.2,0,~,~,
17,3.3,1,21,21,21
18,1.1,0,~,~,
18,1.2,0,~,~,"59,60"
18,1.3,0,~,~,"59,60"
18,1.4,0,~,~,
18,1.5,0,~,~,
18,2.1,0,~,~,
18,2.2,1,5,21,
18,2.3,0,~,~,
18,2.4,0,~,~,
18,2.5,0,~,~,25
18,2.6,0,~,~,
18,3.1,0,~,~,
18,3.2,0,~,~,
18,3.3,1,21,21,21
19,1.1,1,global,14,25
19,1.2,0,~,~,
19,1.3,0,~,~,
19,1.4,0,~,~,
19,1.5,0,~,~,
19,2.1,0,~,~,
19,2.2,1,"4,5,6",14,
19,2.3,0,~,~,
19,2.4,0,~,~,
19,2.5,0,~,~,25
19,2.6,1,47,21,25
19,3.1,0,~,~,
19,3.2,0,~,~,"14,21"
19,3.3,0,~,~,
20,1.1,0,~,~,25
20,1.2,1,"20,24,31,35,42,46,59",25,"20,24,31,35,42,46,55,59,60,64"
20,1.3,1,"20,24,31,35,42,46,59",RETRACTED,"20,24,31,35,42,46,55,59,60,64"
20,1.4,0,~,~,
20,1.5,0,~,~,
20,2.1,0,~,~,
20,2.2,1,47,RETRACTED,
20,2.3,0,~,~,
20,2.4,0,~,~,
20,2.5,0,~,~,60
20,2.6,1,25,"25,47",25
20,3.1,0,~,~,21
20,3.2,0,~,~,21
20,3.3,0,~,~,
21,1.1,0,~,~,
21,1.2,0,~,~,"20,24,31,35,42,46,59"
21,1.3,1,"20,31,42",RETRACTED,"59,60"
21,1.4,0,~,~,
21,1.5,1,global,RETRACTED,
21,2.1,0,~,~,
21,2.2,0,~,~,
21,2.3,0,~,~,
21,2.4,1,21,11,
21,2.5,0,~,~,
21,2.6,1,43,21,25
21,3.1,0,~,~,
21,3.2,0,~,~,
21,3.3,0,~,~,
22,1.1,0,~,~,"global,14,47,65"
22,1.2,0,~,~,
22,1.3,0,~,~,"20,24,31,35,42,55,59,64"
22,1.4,0,~,~,
22,1.5,0,~,~,
22,2.1,0,~,~,
22,2.2,1,47,14,
22,2.3,0,~,~,
22,2.4,0,~,~,
22,2.5,0,~,~,
22,2.6,0,~,~,25
22,3.1,0,~,~,
22,3.2,0,~,~,51
22,3.3,0,~,~,"21,32,43,52"
23,1.1,1,global,14,"global,14,21,25,43,47,65"
23,1.2,0,~,~,
23,1.3,1,?,RETRACTED,
23,1.4,0,~,~,
23,1.5,0,~,~,
23,2.1,0,~,~,
23,2.2,0,~,~,
23,2.3,0,~,~,
23,2.4,0,~,~,13
23,2.5,0,~,~,25
23,2.6,0,~,~,25
23,3.1,0,~,~,
23,3.2,0,~,~,"global,21,43,51,52"
23,3.3,1,21,21,21
24,1.1,1,global,global,
24,1.2,0,~,~,
24,1.3,1,"20,24,31,35,42,46,55,59","20,24,31,35,42,46",
24,1.4,0,~,~,
24,1.5,1,22,25,
24,2.1,0,~,~,
24,2.2,1,47,global,
24,2.3,0,~,~,
24,2.4,0,~,~,
24,2.5,0,~,~,
24,2.6,1,25,"21,25",
24,3.1,1,global,21,
24,3.2,0,~,~,"21,52"
24,3.3,0,~,~,
25,1.1,1,global,14,
25,1.2,0,~,~,
25,1.3,1,24,RETRACTED,"3,8,12,19,23,30,34,41,45,54,58"
25,1.4,0,~,~,
25,1.5,0,~,~,
25,2.1,0,~,~,
25,2.2,1,13,global,
25,2.3,0,~,~,
25,2.4,1,?,RETRACTED,
25,2.5,0,~,~,
25,2.6,1,24,21,25
25,3.1,0,~,~,
25,3.2,0,~,~,
25,3.3,1,21,21,21
26,1.1,1,global,RETRACTED,
26,1.2,0,~,~,
26,1.3,0,~,~,
26,1.4,0,~,~,
26,1.5,0,~,~,
26,2.1,0,~,~,
26,2.2,1,47,global,
26,2.3,0,~,~,
26,2.4,0,~,~,
26,2.5,0,~,~,
26,2.6,1,21,25,25
26,3.1,0,~,~,
26,3.2,0,~,~,"51,52"
26,3.3,1,21,21,21
27,1.1,1,global,"14,15,16",47
27,1.2,1,"20,24,31,35,42,46,55,59",60,
27,1.3,1,"4,9,20,24,31,35,42,46,55,59","57,59",
27,1.4,0,~,~,
27,1.5,1,global,"22,25",
27,2.1,0,~,~,
27,2.2,1,"5,14",43,47
27,2.3,0,~,~,
27,2.4,0,~,~,
27,2.5,0,~,~,
27,2.6,1,21,25,
27,3.1,0,~,~,
27,3.2,0,~,~,"21,52"
27,3.3,1,21,22,21
28,1.1,0,~,~,
28,1.2,0,~,~,"20,31,35,42,43,46,59"
28,1.3,1,"4,9,20,24,31,35,42,46,55,59,64",RETRACTED,"20,24,31,35,42,46,59"
28,1.4,0,~,~,
28,1.5,0,~,~,25
28,2.1,0,~,~,
28,2.2,1,43,"5,6",
28,2.3,0,~,~,
28,2.4,0,~,~,
28,2.5,0,~,~,25
28,2.6,1,25,21,"24,25"
28,3.1,0,~,~,
28,3.2,0,~,~,
28,3.3,1,21,21,
29,1.1,0,~,~,"14,21,43,47,52,60,65"
29,1.2,0,~,~,
29,1.3,0,~,~,
29,1.4,0,~,~,
29,1.5,0,~,~,
29,2.1,0,~,~,
29,2.2,1,"4,5,6",21,
29,2.3,0,~,~,
29,2.4,0,~,~,
29,2.5,0,~,~,"21,43,47"
29,2.6,0,~,~,65
29,3.1,0,~,~,
29,3.2,0,~,~,60
29,3.3,1,21,21,"21,43,52"
30,1.1,1,global,"14,43","14,25,47,65"
30,1.2,0,~,~,
30,1.3,1,"20,24,31,35,42,46",RETRACTED,
30,1.4,0,~,~,
30,1.5,1,global,global,
30,2.1,0,~,~,
30,2.2,1,47,43,
30,2.3,0,~,~,
30,2.4,0,~,~,"13,65"
30,2.5,0,~,~,25
30,2.6,1,21,"21,32",
30,3.1,0,~,~,global
30,3.2,0,~,~,"21,51,52,60"
30,3.3,1,21,"21,32",
