framework,trace_idx,repeat,fm,judge,forced,semi,relaxed
ChatDev,9,1,1.1,0,~,~,"14,25,35,46"
ChatDev,9,1,1.2,0,~,~,
ChatDev,9,1,1.3,1,"2,3","4,9",46
ChatDev,9,1,1.4,1,15,RETRACTED,
ChatDev,9,1,1.5,0,~,~,
ChatDev,9,1,2.1,0,~,~,
ChatDev,9,1,2.2,0,~,~,
ChatDev,9,1,2.3,0,~,~,
ChatDev,9,1,2.4,1,18,14,18
ChatDev,9,1,2.5,0,~,~,35
ChatDev,9,1,2.6,1,15,14,15
ChatDev,9,1,3.1,0,~,~,
ChatDev,9,1,3.2,0,~,~,49
ChatDev,9,1,3.3,0,~,~,"31,42"
ChatDev,9,2,1.1,0,~,~,15
ChatDev,9,2,1.2,0,~,~,"20,24,30,34,41,45,57"
ChatDev,9,2,1.3,1,46,RETRACTED,"20,24,30,34,41,45,54,56,57"
ChatDev,9,2,1.4,0,~,~,"54,56"
ChatDev,9,2,1.5,0,~,~,global
ChatDev,9,2,2.1,0,~,~,
ChatDev,9,2,2.2,0,~,~,
ChatDev,9,2,2.3,0,~,~,
ChatDev,9,2,2.4,1,31,RETRACTED,15
ChatDev,9,2,2.5,0,~,~,35
ChatDev,9,2,2.6,1,14,RETRACTED,
ChatDev,9,2,3.1,0,~,~,
ChatDev,9,2,3.2,0,~,~,
ChatDev,9,2,3.3,1,"31,42","31,42,49",15
ChatDev,9,3,1.1,1,global,global,"14,15,18,31,35,42,49"
ChatDev,9,3,1.2,0,~,~,
ChatDev,9,3,1.3,1,"20,24,30,34,41,45,56,57","13,20,24,30,34,41,45,52,56","56,57"
ChatDev,9,3,1.4,0,~,~,"15,18"
ChatDev,9,3,1.5,0,~,~,
ChatDev,9,3,2.1,0,~,~,
ChatDev,9,3,2.2,0,~,~,
ChatDev,9,3,2.3,0,~,~,
ChatDev,9,3,2.4,0,~,~,13
ChatDev,9,3,2.5,0,~,~,
ChatDev,9,3,2.6,1,14,15,"35,57"
ChatDev,9,3,3.1,0,~,~,
ChatDev,9,3,3.2,0,~,~,
ChatDev,9,3,3.3,1,"21,31",49,"31,42,48,49"
ChatDev,9,4,1.1,1,15,14,14
ChatDev,9,4,1.2,1,"20,24,30,34,41",RETRACTED,56
ChatDev,9,4,1.3,1,"20,24,30,34,41",46,"56,57"
ChatDev,9,4,1.4,1,15,"18,22",
ChatDev,9,4,1.5,1,global,"35,46",
ChatDev,9,4,2.1,0,~,~,
ChatDev,9,4,2.2,0,~,~,
ChatDev,9,4,2.3,1,"20,24,30,34,41",RETRACTED,
ChatDev,9,4,2.4,0,~,~,
ChatDev,9,4,2.5,0,~,~,
ChatDev,9,4,2.6,1,15,"31,42","14,35"
ChatDev,9,4,3.1,0,~,~,
ChatDev,9,4,3.2,0,~,~,
ChatDev,9,4,3.3,0,~,~,
ChatDev,9,5,1.1,0,~,~,"global,14,25"
ChatDev,9,5,1.2,0,~,~,
ChatDev,9,5,1.3,1,"4,9,13,20,24,30,34,41,45,52,56,61","32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","56,57"
ChatDev,9,5,1.4,0,~,~,"36,37"
ChatDev,9,5,1.5,1,global,global,
ChatDev,9,5,2.1,0,~,~,
ChatDev,9,5,2.2,0,~,~,
ChatDev,9,5,2.3,0,~,~,
ChatDev,9,5,2.4,1,15,21,"15,16,18,36,37"
ChatDev,9,5,2.5,0,~,~,
ChatDev,9,5,2.6,1,14,25,"14,25"
ChatDev,9,5,3.1,0,~,~,
ChatDev,9,5,3.2,0,~,~,
ChatDev,9,5,3.3,0,~,~,"31,42,48,49"
ChatDev,9,6,1.1,1,global,14,"15,16,18,22"
ChatDev,9,6,1.2,1,"4,9,13,20,24,30,34,41,45,52,56,61","30,34,41,45,56,57,61",
ChatDev,9,6,1.3,0,~,~,"3,8,12,19,23,29,33,40,44,46,51,55,60"
ChatDev,9,6,1.4,0,~,~,
ChatDev,9,6,1.5,0,~,~,
ChatDev,9,6,2.1,0,~,~,
ChatDev,9,6,2.2,0,~,~,
ChatDev,9,6,2.3,0,~,~,
ChatDev,9,6,2.4,0,~,~,"15,16,18,22"
ChatDev,9,6,2.5,0,~,~,
ChatDev,9,6,2.6,1,20,global,"15,16"
ChatDev,9,6,3.1,0,~,~,
ChatDev,9,6,3.2,0,~,~,
ChatDev,9,6,3.3,0,~,~,
ChatDev,9,7,1.1,0,~,~,"14,15,35"
ChatDev,9,7,1.2,0,~,~,
ChatDev,9,7,1.3,1,"35,46,57","35,46","3,8,12,19,23,29,33,40,44,51,55,56,57,60"
ChatDev,9,7,1.4,0,~,~,
ChatDev,9,7,1.5,0,~,~,
ChatDev,9,7,2.1,0,~,~,
ChatDev,9,7,2.2,0,~,~,
ChatDev,9,7,2.3,0,~,~,
ChatDev,9,7,2.4,0,~,~,15
ChatDev,9,7,2.5,0,~,~,
ChatDev,9,7,2.6,1,15,14,35
ChatDev,9,7,3.1,0,~,~,
ChatDev,9,7,3.2,0,~,~,42
ChatDev,9,7,3.3,0,~,~,
ChatDev,9,8,1.1,1,global,14,"14,25"
ChatDev,9,8,1.2,1,"56,57",RETRACTED,
ChatDev,9,8,1.3,1,"45,46",46,"46,57"
ChatDev,9,8,1.4,0,~,~,"18,22"
ChatDev,9,8,1.5,0,~,~,
