framework,trace_idx,repeat,fm,judge,forced,semi,relaxed
HyperAgent,0,1,1.1,1,global,global,
HyperAgent,0,1,1.2,0,~,~,
HyperAgent,0,1,1.3,1,"1,2","14,18,24,25,31,32","17,25,27,28,29,31,32"
HyperAgent,0,1,1.4,0,~,~,"26,27"
HyperAgent,0,1,1.5,1,global,"33,38",
HyperAgent,0,1,2.1,1,26,27,26
HyperAgent,0,1,2.2,0,~,~,
HyperAgent,0,1,2.3,1,"7,24,25,31,32",7,"7,24,25"
HyperAgent,0,1,2.4,0,~,~,36
HyperAgent,0,1,2.5,0,~,~,
HyperAgent,0,1,2.6,1,"17,24,25,31,32","7,23","7,17,24,25"
HyperAgent,0,1,3.1,0,~,~,
HyperAgent,0,1,3.2,0,~,~,13
HyperAgent,0,1,3.3,1,"19,24,25,31,32","24,25,31,32,33,35,38",
HyperAgent,0,2,1.1,1,global,"23,26,30","23,30"
HyperAgent,0,2,1.2,0,~,~,"8,9,13,14,17,18,23,30"
HyperAgent,0,2,1.3,1,"24,25,27,28,29,30,31,32","24,25,31,32","9,17,25,28,29,31,32"
HyperAgent,0,2,1.4,0,~,~,
HyperAgent,0,2,1.5,0,~,~,
HyperAgent,0,2,2.1,0,~,~,
HyperAgent,0,2,2.2,1,27,39,
HyperAgent,0,2,2.3,1,7,7,7
HyperAgent,0,2,2.4,0,~,~,"13,19,36"
HyperAgent,0,2,2.5,0,~,~,26
HyperAgent,0,2,2.6,1,"7,18,19,23,24,26,30,33,38,39","35,36,37,38,39","8,9,13,14,17,18,23,24,30,37"
HyperAgent,0,2,3.1,0,~,~,
HyperAgent,0,2,3.2,0,~,~,
HyperAgent,0,2,3.3,0,~,~,
HyperAgent,0,3,1.1,1,global,RETRACTED,"23,30"
HyperAgent,0,3,1.2,0,~,~,
HyperAgent,0,3,1.3,1,"2,25,31,32","24,25","9,12,14,24,25,27,28,29,31,32"
HyperAgent,0,3,1.4,0,~,~,"27,28,29"
HyperAgent,0,3,1.5,0,~,~,global
HyperAgent,0,3,2.1,1,26,RETRACTED,
HyperAgent,0,3,2.2,0,~,~,
HyperAgent,0,3,2.3,0,~,~,"7,26"
HyperAgent,0,3,2.4,0,~,~,
HyperAgent,0,3,2.5,0,~,~,"19,33,39"
HyperAgent,0,3,2.6,1,17,"17,19,23,26,30,33","7,18,24,37"
HyperAgent,0,3,3.1,0,~,~,global
HyperAgent,0,3,3.2,0,~,~,"33,39"
HyperAgent,0,3,3.3,1,"24,25,31,32","38,39",38
HyperAgent,0,4,1.1,0,~,~,"7,24,25,32"
HyperAgent,0,4,1.2,0,~,~,
HyperAgent,0,4,1.3,1,"24,25","1,2","14,25,31,32"
HyperAgent,0,4,1.4,1,"26,27,28,29",26,27
HyperAgent,0,4,1.5,0,~,~,
HyperAgent,0,4,2.1,0,~,~,36
HyperAgent,0,4,2.2,0,~,~,
HyperAgent,0,4,2.3,1,"24,25",RETRACTED,7
HyperAgent,0,4,2.4,0,~,~,
HyperAgent,0,4,2.5,0,~,~,
HyperAgent,0,4,2.6,1,"17,24,25,31,32","24,25","18,24,25,31,32,35"
HyperAgent,0,4,3.1,0,~,~,
HyperAgent,0,4,3.2,0,~,~,"35,39"
HyperAgent,0,4,3.3,0,~,~,
HyperAgent,0,5,1.1,1,global,26,
HyperAgent,0,5,1.2,1,"7,8,13,17",7,8
HyperAgent,0,5,1.3,1,"2,24,25,31,32","24,25,27,31,32","14,24,25,29,31,32"
HyperAgent,0,5,1.4,1,"24,25",27,"26,28"
HyperAgent,0,5,1.5,1,global,RETRACTED,
HyperAgent,0,5,2.1,1,26,RETRACTED,
HyperAgent,0,5,2.2,1,"7,19,30","23,30,33",
HyperAgent,0,5,2.3,1,"30,31,32",26,7
HyperAgent,0,5,2.4,0,~,~,
HyperAgent,0,5,2.5,0,~,~,"26,27"
HyperAgent,0,5,2.6,1,"24,25","33,39","7,24,25,30,31,32"
HyperAgent,0,5,3.1,1,global,RETRACTED,
HyperAgent,0,5,3.2,0,~,~,"9,17,38"
HyperAgent,0,5,3.3,1,39,"38,39","18,19,23,24,25,26,30,31,32,39"
HyperAgent,0,6,1.1,0,~,~,"8,9,18,23,30"
HyperAgent,0,6,1.2,1,"9,26","7,8",
HyperAgent,0,6,1.3,1,"24,25","24,25","9,14,17,24,25,31,32"
HyperAgent,0,6,1.4,0,~,~,27
HyperAgent,0,6,1.5,0,~,~,
HyperAgent,0,6,2.1,0,~,~,26
HyperAgent,0,6,2.2,0,~,~,
HyperAgent,0,6,2.3,1,8,"24,25",7
HyperAgent,0,6,2.4,0,~,~,36
HyperAgent,0,6,2.5,0,~,~,14
HyperAgent,0,6,2.6,1,"7,9,38","30,31,32","12,24,25,26,31,32"
HyperAgent,0,6,3.1,0,~,~,
HyperAgent,0,6,3.2,0,~,~,
HyperAgent,0,6,3.3,0,~,~,
HyperAgent,0,7,1.1,1,"23,30,35","23,30","18,21,23,24,26,30"
HyperAgent,0,7,1.2,0,~,~,
HyperAgent,0,7,1.3,1,"9,14,17,24,25,29,31,32","24,25,28,31,32","14,24,25,28,29,31,32"
HyperAgent,0,7,1.4,1,"18,38,39","26,27,33,38","26,27"
HyperAgent,0,7,1.5,0,~,~,
HyperAgent,0,7,2.1,0,~,~,
HyperAgent,0,7,2.2,0,~,~,
HyperAgent,0,7,2.3,1,7,26,"7,24,26"
HyperAgent,0,7,2.4,0,~,~,
HyperAgent,0,7,2.5,1,"19,26,27",RETRACTED,"21,23,27,30,33,39"
HyperAgent,0,7,2.6,1,"7,14,18,23,24,25,26,30,31,32,37","14,18,23,24,25,30,31,32,37","12,18,23,24,30,31"
HyperAgent,0,7,3.1,0,~,~,
HyperAgent,0,7,3.2,1,"8,9,12,38,39","9,17","24,31,33"
HyperAgent,0,7,3.3,1,"13,37","33,38","24,31,33,38,39"
HyperAgent,0,8,1.1,1,global,"18,23,26,30","7,8,9,17,18,23,30"
HyperAgent,0,8,1.2,0,~,~,
HyperAgent,0,8,1.3,1,"24,25","20,21,22","12,14,24,25,28,29,31,32,36"
HyperAgent,0,8,1.4,0,~,~,"18,26,27,28,29"
HyperAgent,0,8,1.5,0,~,~,
HyperAgent,0,8,2.1,0,~,~,
HyperAgent,0,8,2.2,0,~,~,26
HyperAgent,0,8,2.3,1,"19,20,21,22","7,26",26
HyperAgent,0,8,2.4,0,~,~,"7,8,14"
HyperAgent,0,8,2.5,0,~,~,33
HyperAgent,0,8,2.6,1,30,"18,19,23,30","7,8,12,23,24,25,30,31,32,33,36"
HyperAgent,0,8,3.1,0,~,~,
HyperAgent,0,8,3.2,0,~,~,"9,39"
HyperAgent,0,8,3.3,1,38,"33,35",
HyperAgent,0,9,1.1,1,"18,26,30","19,26","23,24,30"
HyperAgent,0,9,1.2,1,"23,30",RETRACTED,
HyperAgent,0,9,1.3,1,"24,25","25,32","12,25,31,32"
HyperAgent,0,9,1.4,1,27,RETRACTED,26
HyperAgent,0,9,1.5,0,~,~,global
HyperAgent,0,9,2.1,0,~,~,
HyperAgent,0,9,2.2,0,~,~,
HyperAgent,0,9,2.3,1,7,24,"7,24,26"
HyperAgent,0,9,2.4,0,~,~,
HyperAgent,0,9,2.5,0,~,~,19
HyperAgent,0,9,2.6,1,"24,25","7,18","7,17,23,30"
HyperAgent,0,9,3.1,0,~,~,global
HyperAgent,0,9,3.2,0,~,~,9
HyperAgent,0,9,3.3,1,"33,39","31,33","24,25,31,32,33,39"
HyperAgent,0,10,1.1,0,~,~,"23,24,26,30"
HyperAgent,0,10,1.2,0,~,~,
HyperAgent,0,10,1.3,1,"1,2","24,25,31,32","9,14,25,31,32"
HyperAgent,0,10,1.4,0,~,~,"18,26,27"
HyperAgent,0,10,1.5,0,~,~,
HyperAgent,0,10,2.1,0,~,~,
HyperAgent,0,10,2.2,0,~,~,
HyperAgent,0,10,2.3,1,"7,13,19,26",RETRACTED,7
HyperAgent,0,10,2.4,0,~,~,
HyperAgent,0,10,2.5,0,~,~,27
HyperAgent,0,10,2.6,1,"13,14","30,31,32","12,17,18,24,26,30,35,37,38"
HyperAgent,0,10,3.1,0,~,~,global
HyperAgent,0,10,3.2,0,~,~,"33,38,39"
HyperAgent,0,10,3.3,0,~,~,39
HyperAgent,0,11,1.1,1,global,RETRACTED,global
HyperAgent,0,11,1.2,0,~,~,"23,30"
HyperAgent,0,11,1.3,1,"24,25","24,25","9,14,18,24,25,31,32"
HyperAgent,0,11,1.4,1,"27,28,29","26,27,28",26
HyperAgent,0,11,1.5,0,~,~,global
HyperAgent,0,11,2.1,1,26,RETRACTED,26
HyperAgent,0,11,2.2,0,~,~,
HyperAgent,0,11,2.3,0,~,~,7
HyperAgent,0,11,2.4,0,~,~,9
HyperAgent,0,11,2.5,0,~,~,"33,39"
HyperAgent,0,11,2.6,1,"24,25","17,18","7,12,14,18,23,24,26,30,37"
HyperAgent,0,11,3.1,0,~,~,global
HyperAgent,0,11,3.2,0,~,~,"33,39"
HyperAgent,0,11,3.3,0,~,~,"38,39"
HyperAgent,0,12,1.1,1,global,global,"9,17,18,23,26,30"
HyperAgent,0,12,1.2,1,"4,10,15,19,23,26,30","18,19,23,26,30",
HyperAgent,0,12,1.3,1,"24,25","24,25,31,32","25,31,32"
HyperAgent,0,12,1.4,0,~,~,"16,20,27"
HyperAgent,0,12,1.5,0,~,~,
HyperAgent,0,12,2.1,0,~,~,26
HyperAgent,0,12,2.2,0,~,~,
HyperAgent,0,12,2.3,1,7,"18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",7
HyperAgent,0,12,2.4,1,"9,17,18,38","18,38","9,36"
HyperAgent,0,12,2.5,0,~,~,
