framework,trace_idx,repeat,fm,judge,forced,semi,relaxed
MetaGPT,17,1,1.1,1,global,"1,2,4",1
MetaGPT,17,1,1.2,0,~,~,
MetaGPT,17,1,1.3,1,4,4,4
MetaGPT,17,1,1.4,0,~,~,
MetaGPT,17,1,1.5,0,~,~,
MetaGPT,17,1,2.1,0,~,~,
MetaGPT,17,1,2.2,0,~,~,
MetaGPT,17,1,2.3,0,~,~,
MetaGPT,17,1,2.4,0,~,~,
MetaGPT,17,1,2.5,0,~,~,4
MetaGPT,17,1,2.6,0,~,~,
MetaGPT,17,1,3.1,0,~,~,
MetaGPT,17,1,3.2,0,~,~,"2,3"
MetaGPT,17,1,3.3,0,~,~,
MetaGPT,17,2,1.1,1,global,1,1
MetaGPT,17,2,1.2,0,~,~,
MetaGPT,17,2,1.3,1,4,4,4
MetaGPT,17,2,1.4,0,~,~,5
MetaGPT,17,2,1.5,0,~,~,
MetaGPT,17,2,2.1,0,~,~,
MetaGPT,17,2,2.2,0,~,~,
MetaGPT,17,2,2.3,0,~,~,
MetaGPT,17,2,2.4,0,~,~,
MetaGPT,17,2,2.5,0,~,~,4
MetaGPT,17,2,2.6,0,~,~,
MetaGPT,17,2,3.1,0,~,~,
MetaGPT,17,2,3.2,0,~,~,"2,3"
MetaGPT,17,2,3.3,0,~,~,
MetaGPT,17,3,1.1,1,global,global,"global,1,2"
MetaGPT,17,3,1.2,0,~,~,
MetaGPT,17,3,1.3,1,4,4,4
MetaGPT,17,3,1.4,1,4,4,
MetaGPT,17,3,1.5,0,~,~,
MetaGPT,17,3,2.1,0,~,~,
MetaGPT,17,3,2.2,0,~,~,
MetaGPT,17,3,2.3,0,~,~,
MetaGPT,17,3,2.4,0,~,~,
MetaGPT,17,3,2.5,0,~,~,4
MetaGPT,17,3,2.6,0,~,~,2
MetaGPT,17,3,3.1,0,~,~,
MetaGPT,17,3,3.2,0,~,~,
MetaGPT,17,3,3.3,0,~,~,
MetaGPT,17,4,1.1,1,global,1,"global,1,2"
MetaGPT,17,4,1.2,0,~,~,
MetaGPT,17,4,1.3,1,4,4,4
MetaGPT,17,4,1.4,0,~,~,
MetaGPT,17,4,1.5,0,~,~,global
MetaGPT,17,4,2.1,0,~,~,
MetaGPT,17,4,2.2,1,"1,2,3",1,1
MetaGPT,17,4,2.3,0,~,~,
MetaGPT,17,4,2.4,0,~,~,
MetaGPT,17,4,2.5,0,~,~,"2,4"
MetaGPT,17,4,2.6,0,~,~,
MetaGPT,17,4,3.1,0,~,~,
MetaGPT,17,4,3.2,0,~,~,"global,2"
MetaGPT,17,4,3.3,0,~,~,
MetaGPT,17,5,1.1,1,global,global,"1,2"
MetaGPT,17,5,1.2,0,~,~,
